Institution,Datenset,URL (CdV),Beschreibung,Beschreibung (ohne Zeichenbeschränkung),Zusammenfassung auf Englisch,Thema,Objekttypen,Lizenz der Mediendateien,Lieferformat der Metadaten,Metadaten-Schema,Kontrollierte Vokabulare,Lizenz der Metadaten,Titelbild (Filename),Kick-Off
Zentral- und Landesbibliothek Berlin,Einträge des Jüdischen Adressbuchs von Groß-Berlin 1931,https://codingdavinci.de/de/daten/eintraege-des-juedischen-adressbuchs-von-gross-berlin-1931,"Das Jüdische Adressbuch für Groß-Berlin der Goedega Verlags-Gesellschaft von 1931 gehört zu den wichtigen Quellen über jüdisches Alltagsleben zu Beginn der 1930er Jahre. Die 72.231 Einträge des Buches wurden von Rod Miller im Rahmen von stolperstadt.org (jetzt: ""Mapping the lives"" von Tracing the Past e.V.) sorgfältig aufbereitet und durch die Zentral- und Landesbibliothek Berlin öffentlich zugänglich gemacht. Die Einträge enthalten Namen und Adressen auch Angaben zur Untermiete sowie zu Berufen und Titeln der verzeichneten Personen. Mit den hausnummergenauen Adressdaten bietet die Datensammlung eine einzigartige Möglichkeit, sich über die Wohnorte den im Adressbuch verzeichneten Personen zu Beginn der 1930er Jahre zu nähern.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2017: PDF",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Religion und Weltanschauung","Text, Verzeichnis, Bild, Scan eines Fotos",public domain,CSV,,,CC BY-SA 3.0,,Berlin 2014
Museum für Naturkunde Berlin,"Insektenkästen, hoch aufgelöst",https://codingdavinci.de/de/daten/insektenkaesten-hoch-aufgeloest,"Für Coding da Vinci stellt das Museum für Naturkunde Berlin Gigapixel-Scans von Insektenkästen für die breite Öffentlichkeit und für die Forschungsgemeinschaft zur Verfügung. Diese Insektenkästen beinhalten Schmetterlinge, Käfer, Bienen, Heuschrecken, Wanzen und vieles mehr. Für die meisten Insektenkästen ist eine Artenliste verfügbar. Allerdings gibt es auch Kästen mit unbestimmtem Material.
Alle Insektenkästen liegen als krpano-Objekte (Flash oder HTML5) vor, wobei jedes krpano-Objekt sich aus ca. 1.400 Einzelbildern (JPG) zusammensetzt und insgesamt eine Auflösung von ca. 18.400 x 14.800 Pixel erreicht sowie eine Dateigröße von 35 MB. Für Coding da Vinci wurde der Datenbestand auf ca. 1.600 hochauflösende Bilder erhöht.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2017: PDF",,,Natur und Naturkunde,"Bild, Foto eines 3D Sammlungsobjektes",CC0 1.0,CSV,,,CC0 1.0,,Berlin 2014
Museum für Naturkunde Berlin,"Insektenkästen, hoch aufgelöst",https://codingdavinci.de/de/daten/insektenkaesten-hoch-aufgeloest,"Für Coding da Vinci stellt das Museum für Naturkunde Berlin Gigapixel-Scans von Insektenkästen für die breite Öffentlichkeit und für die Forschungsgemeinschaft zur Verfügung. Diese Insektenkästen beinhalten Schmetterlinge, Käfer, Bienen, Heuschrecken, Wanzen und vieles mehr. Für die meisten Insektenkästen ist eine Artenliste verfügbar. Allerdings gibt es auch Kästen mit unbestimmtem Material.
Alle Insektenkästen liegen als krpano-Objekte (Flash oder HTML5) vor, wobei jedes krpano-Objekt sich aus ca. 1.400 Einzelbildern (JPG) zusammensetzt und insgesamt eine Auflösung von ca. 18.400 x 14.800 Pixel erreicht sowie eine Dateigröße von 35 MB. Für Coding da Vinci wurde der Datenbestand auf ca. 1.600 hochauflösende Bilder erhöht.
Präsentation des Datensets beim Kick-Off von Coding da Vinci 2017: PDF",,,Natur und Naturkunde,"Bild, Foto eines 3D Sammlungsobjektes",CC0 1.0,CSV,,,CC0 1.0,,Berlin 2017
Bibelmuseum Münster,Deutsche Bibeln von 1483 bis 1670 im Bibelmuseum Münster,https://codingdavinci.de/de/daten/deutsche-bibeln-von-1483-bis-1670-im-bibelmuseum-muenster,"Das Bibelmuseum Münster stellt eine Auswahl von zehn vollständig digitalisierten Bibeln (TIFF) von 1483 (""Koberger Bibel""), der ersten Übersetzung Luthers von 1522, 1534 und den katholischen „Korrekturbibeln“ (von Emser 1527, Dietenberger 1534 und Eck 1537) bis hin zur „Fegefeuerbibel“ von 1670 bereit.

Neben unterschiedlichen Textformen oder Textstufen enthalten die Bibeln Illustrationen (Stiche) von bekannten Künstlern wie Lucas Cranach oder Hans Holbein, teilweise finden sich auch handschriftliche Einträge früherer Besitzer.

Bereits aus dem 14. Jahrhundert liegen handschriftliche Übersetzungen der Bibel in deutscher Sprache vor. Auch die Geschichte des deutschen Bibeldrucks beginnt nicht erst mit Martin Luthers Bibelübersetzung. Bereits 1466 erschien der erste deutsche Bibeldruck von Johannes Mentelin in Straßburg („Mentelin-Bibel“). Bis 1522 wurden insgesamt 18 deutsche, sogenannte „vorlutherische Bibeln“ gedruckt. Die vorlutherischen Übersetzungen basierten auf dem lateinischen Text der Bibel, der Vulgata, den sie möglichst Wort für Wort übersetzten. Dadurch entstand ein oft nur schwer verständlicher Text. Luther übersetzte erstmals aus dem Griechischen, Hebräischen und Lateinischen ins Deutsche.

Präsentation des Datensets beim Kick-Off von Coding da Vinci Westfalen-Ruhrgebiet 2019: PDF",,,"Geschichte und Geografie, Kunst und Kultur, Religion und Weltanschauung, Sprache und Literatur","Text, Buch, Druckwerk, Bild, Scan eines Fotos, Druckgrafik",public domain,XLS,,,CC0 1.0,,Westfalen-Ruhrgebiet 2019
Arolsen Archives und KZ-Gedenkstätte Dachau,Fotografien überlebender Häftlinge des KZ Dachau,https://codingdavinci.de/de/daten/fotografien-ueberlebender-haeftlinge-des-kz-dachau,"Nach dem Ende des Zweiten Weltkrieges gründeten ehemalige Häftlinge des KZ Dachau das International Information Office (IIO). Dokumente, die die KZ-Verwaltung angefertigt hatte, wurden nun genutzt, um für die befreiten Männer und Frauen Haftbestätigungen auszustellen. Da den Gefangenen bei der Ankunft im KZ oftmals alle Dokumente weggenommen worden waren, konnte nach 1945 teilweise nur das IIO die KZ-Haft in Dachau bestätigen. Dies war aber wichtig, um zum Beispiel die Anerkennung als NS-Opfer beantragen zu können.
Die Passbilder, die die ehemaligen Häftlinge an das IIO abgaben, sind in den Arolsen Archives erhalten geblieben. Für Coding da Vinci werden die ca. 3.000 Fotografien aus den Monaten Mai und Juni 1946 zusammen mit den Metadaten (Vor- und Nachname, Geburtstag und Häftlingsnummer in einer XLS-Datei) unter CC-BY-SA Lizenz zur Verfügung gestellt. Die Gedenkstätte Dachau und die Arolsen Archives sind offen für Ideen der Teilnehmerinnen und Teilnehmer und stehen für alle Fragen bereit.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Politik und Militär, Recht und Justiz","Bild, Scan eines Fotos","CC BY-SA 4.0, Arolsen Archives",XLS,,,"CC0 1.0, Arolsen Archives",,Süd 2019
Leibniz-Institut für Ost- und Südosteuropaforschung (IOS),Mapping the East: Karten aus Ost- und Südosteuropä,https://codingdavinci.de/de/daten/mapping-east-karten-aus-ost-und-suedosteuropae,"Die digitale Kartensammlung von Mapping the East umfasst 1.381 Karten aus dem Projekt GeoPortOst (http://geoportost.ios-regensburg.de/). Im Zentrum der Sammlung stehen thematische Karten des 19. und 20. Jhs. Für Coding da Vinci wurden Karten ausgewählt, die die Dynamik historischer Ereignisse und Entwicklungen in den Regionen Ost- und Südosteuropas visualisieren. Dabei reicht die Bandbreite von kartografischen Darstellungen zur russischen Militärgeschichte bis hin zu territorialen und ethnografischen Veränderungen. Darüber hinaus enthält Mapping the East eine Reihe seltener Altkarten sowie Kartenserien zum Habsburgerreich sowie detaillierte Pläne zu Stadtbildern Osteuropas.
Alle Karten wurden in Wikimedia Commons als JPG eingespielt und über Metadaten umfassend beschrieben. Die inhaltliche Erschließung erfolgte unter Verwendung der GND, integriert aber auch Wikidata-IDs. Darüber hinaus liegen zu den Karten geografische Rahmenkoordinaten vor. Die Dokumente können aus dem Portal GeoPortOst auch in weiteren Formaten, z.B. im hochauflösenden TIFF-Format, abgerufen werden.",,,"Geschichte und Geografie, Politik und Militär","Bild, Karte",public domain,,,"GND, Wikidata",CC0 1.0,,Süd 2019
Bayerische Akademie der Wissenschaften,Belege des Fränkischen Wörterbuchs,https://codingdavinci.de/de/daten/belege-des-fraenkischen-woerterbuchs,"Im Verlauf von 90 Jahren (1913 – 2001) beteiligten sich tausende ehrenamtliche Mitarbeiter und trugen den Wortschatz aus den bayerischen Bezirken Ober-, Mittel- und Unterfranken zusammen. Die Sammlung besteht aus hunderttausenden handschriftlich ausgefüllten Fragebögen und mehr als einer Million Karteikarten. Diese Sammlung stellt ein einzigartiges immaterielles Kulturgut dar, bildet sie doch das gesprochene Wort des 20. Jahrhunderts auf den Dörfern und in den Städten einer sprachlichen Großlandschaft ab. Für keine andere Region im deutschen Sprachraum ist eine derart umfangreiche thematisch breit- und langfristig angelegte Sammlung vorhanden.
Derzeit werden die Belegsammlungen der Fragebögen, die zwischen 1960 und 2001 versendet wurden, in einer Volltextdatenbank erfasst. Diese Datenbank ist die Grundlage des kontinuierlich anwachsenden Online-Wörterbuchs, das bereits jetzt, während der Datenerfassung und -aufbereitung, öffentlich zugänglich ist. Derzeit enthält die Datenbank ca. 950.000 Datensätze.",,,"Gesellschaft und Alltagsleben, Sprache und Literatur","Text, Wörterbuch, Verzeichnis","CC BY, Fränkisches Wörterbuch, Bayerische Akademie der Wissenschaften","CSV, JSON",,,"CC0 1.0, Fränkisches Wörterbuch, Bayerische Akademie der Wissenschaften",,Süd 2019
Südsee-Sammlung und Historisches Museum Obergünzburg,Fotografien aus der Deutschen Südsee um 1910,https://codingdavinci.de/de/daten/fotografien-aus-der-deutschen-suedsee-um-1910,"Der „Allgäuer Seefahrer“ Karl Nauer verbrachte die Jahre 1903 bis 1913 im Dienst des Norddeutschen Lloyd in Deutsch-Neuguinea, der ehemaligen deutschen Kolonie im Pazifik. Ab 1906 fuhr er als Kapitän des Dampfers ""Sumatra"" zwischen den Hauptplätzen des Bismarcks-Archipels. Nauer wurde im Laufe der Jahre zu einer wichtigen Kontaktperson für verschiedene deutsche Völkerkundemuseen, nicht zuletzt durch die Aufenthalte zahlreicher Wissenschaftler bei ihm an Bord. Belegt ist, dass Nauer 1908/1909 eine mehrmonatige Sammlungsreise auf den Salomonen mit dem Ethnologen Dr. Ludwig Cohn für das Bremer Überseemuseum unternahm, und ab diesem Zeitpunkt auch fotografierte.
Aus einem Konvolut von insgesamt 385 Glasplatten-Negativen hat die Südsee-Sammlung Obergünzburg jene 178 Fotografien ausgewählt, in denen Nauer seine Reisen nach und in der deutschen Südsee dokumentiert hat. Die Metadaten enthalten Aufnahmeort und -datum soweit dies von Nauer selbst notiert ist.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Technik und Wissenschaft, Transport und Verkehr","Bild, Scan eines Fotos","CC BY, Karl Nauer / Südsee-Sammlung Obergünzburg",CSV,,,"CC0 1.0, Karl Nauer / Südsee-Sammlung Obergünzburg",,Süd 2019
Universitätsbibliothek der Ludwig-Maximilians-Universität München,Bibliographische Daten aus 350 Jahren (1450-1800),https://codingdavinci.de/de/daten/bibliographische-daten-aus-350-jahren-1450-1800,"Die bereitgestellten Daten der Universitätsbibliothek der Ludwig-Maximilians-Universität München umfassen bibliographische Daten aus 350 Jahren (1450-1800). Die Universitätsbibliothek ist die zweitgrößte Altbestandsbibliothek in Bayern mit einem Bestand von über 200.000 Bänden aus der Zeit zwischen 1450 und 1800. Die für Coding Da Vinci aufbereiteten und im CSV-Format bereitgestellten bibliographischen Daten bieten mit 2.057 Datensätzen einen kleinen Ausschnitt jener Werke, die bereits digital vorliegen.
In den Metadaten ist jeweils der Link auf das im PDF-Format vorliegende Digitalisat vorhanden. Sowohl die Metadaten als auch die Digitalisate selbst stehen unter der CCO-Lizenz. Die Metadaten enthalten neben den herkömmlichen Titelangaben, wie Autor, Titel, Jahr, Verlag etc. auch die historischen Namen der Erscheinungsorte mit der dazugehörigen Geoname ID.",,,"Geschichte und Geografie, Gesellschaft und Alltagsleben, Medien und Information, Sprache und Literatur","Text, Buch, Druckwerk, Bild, Foto eines 3D Sammlungsobjektes, Scan eines Fotos","CC0 1.0, Universitätsbibliothek der Ludwig-Maximilians-Universität München",,,Geonames,"CC0 1.0, Universitätsbibliothek der Ludwig-Maximilians-Universität München",,Süd 2019
Museum - Naturalienkabinett Waldenburg,Barocke Seesternsammlung,https://codingdavinci.de/de/daten/barocke-seesternsammlung,"-- English version below --
Die Sterne des Meeres- Eine Sammlung aus der barocken Wunderkammer
Die einmalige Sammlung des Museum - Naturalienkabinett Waldenburg beinhaltet klassische Gegenstände einer barocken Kunst- und Wunderkammer mit Objekten aus Physik, Astronomie, Kunst, Zoologie, Botanik, Mineralogie, Anatomie, Paläontologie und Ethnologie in überbordender Fülle.
Die Anfänge liegen beim Linckschen Naturalienkabinett, welches mit dem Aufbau eines Schau-und Lehrherbars 1670 durch Johann Linck [1638 -1717] entstand. In den nächsten Jahrzehnten wurde diese durch die folgenden Generationen J.H. Linck d.Ä.[1674 -1734] und J.H. Linck d.J.[1734 -1807] aber auch durch Elisabeth Maria Linck [1685-1757] erweitert und wissen­schaftlich bearbeitet.
So nutzte Johann Heinrich Linck d.Ä. (1674 - 1734) die in der Sammlung zahlreich enthaltenen Seesterne, Haarsterne und Schlangensterne als Grundlage für seine viel beachtete Monographie ""De Stellis Marinis"", welche er 1733, noch vor Carl von Linné, publizierte.
Es ist die erste monographische Bearbeitung der zu dieser Zeit bekannten Arten der See,- Haar- und Schlangensterne. Diese Monographie brachte ihrem Verfasser Ruhm und Anerkennung in den höchsten akademischen Kreisen.
Die in der Monographie durch Kupferstiche (angefertigt von Johann August Corvinus) dargestellten Typusexemplare sind, trotz ihrer Fragilität und Anfälligkeit für den Verfall, weitestgehend erhalten und im Museum (als auch als Digitalisate auf museum-digital.de) zu bestaunen.
Im Museum – Naturalienkabinett Waldenburg findet sich die erste Monographie der Seesterne zusammen mit ihrem Abbildungsoriginalen- eine außerordentliche Besonderheit!
Und so zeigen diese Seesterne den Beginn der modernen Taxonomie auf und berichten von den frühen Anfängen, die Fülle der Natur durch und für den Menschen zu bändigen.",,"The stars of the sea - a collection from the baroque cabinet of curiosities
The unique collection of the Museum - Naturalienkabinett Waldenburg contains a baroque cabinet of curiosities with objects from physics, astronomy, art, zoology, botany, mineralogy, anatomy, palaeontology and ethnology in an incredible abundance.
It startet with the Linckschen Naturalienkabinett, which was created with the construction of a show and teaching herbarium in 1670 by Johann Linck [1638-1717]. In the next decades this was replaced by the following generations J.H. Linck the Elder [1674-1734] and J.H. Linck the Younger [1734-1807] but also Elisabeth Maria Linck [1685-1757] expanded and scientifically processed.
 Johann Heinrich Linck the Elder used (1674 - 1734) the sea stars, feather stars and brittle stars contained in the collection as the basis for his much-acclaimed monograph ""De Stellis Marinis"", which he published in 1733, before Carl von Linné.
It is the first monographic treatment of the species of sea, feather and brittle stars known at the time. This monograph brought the author fame and recognition in the highest academic circles.
The type copies shown in the monograph by copper engravings (made by Johann August Corvinus) are largely preserved, despite their fragility and susceptibility to decay, and can be admired in the museum (as well as digital copies on museum-digital.de).
In the Museum - Natural History Cabinet Waldenburg you can find the first monograph of the starfish together with their original illustration - an extraordinary feature!
And so these starfish show the beginning of modern taxonomy and tell of the early beginnings to tame the abundance of nature for mankind.",Natur und Naturkunde,"Text, Bericht, Quelle, Bild, Foto eines 3D Sammlungsobjektes","CC BY-SA 3.0, Museum - Naturalienkabinett Waldenburg",XML,LIDO-XML,GND,"CC BY-SA 3.0, Museum - Naturalienkabinett Waldenburg",,Ost³ 2022
